"SHCODE","YEAR","N015","PRI15","PRIC15","SEC15","SECC15","HIGH15","HIGHC15","TYR15","PYR15","SYR15","HYR15"
31,1990,84.2,12.7,2.9,2.8,0.4,0.4,0.2,0.82,0.66,0.15,0.01
33,1960,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,5.1,1.3,0.3,0.2,1.79769313486232e+308,1.79769313486232e+308,0.21,0.01
33,1965,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4.5,1.1,0.2,0.2,1.79769313486232e+308,1.79769313486232e+308,0.18,0.01
33,1970,81.1,14.6,3.9,4,1,0.2,0.2,0.98,0.81,0.16,0.01
33,1975,72.1,24.1,6,3.6,0.9,0.2,0.2,1.29,1.13,0.15,0.01
33,1980,66.8,29.8,8.6,3.2,0.8,0.2,0.2,1.5,1.36,0.13,0.01
33,1985,60.9,36,7.2,2.9,0.7,0.3,0.2,1.62,1.48,0.12,0.01
33,1990,56.3,39.7,8.1,3.6,0.6,0.3,0.2,1.83,1.67,0.15,0.01
34,1960,63.1,32,7.4,4.4,1.1,0.5,0.4,1.74,1.48,0.25,0.02
34,1965,66.1,28.8,6.7,4.5,1,0.6,0.3,1.64,1.37,0.25,0.02
34,1970,66.9,27.4,6.4,4.9,1,0.7,0.4,1.65,1.35,0.27,0.02
34,1975,51.9,42.1,9.8,5.2,1,0.9,0.4,2.25,1.92,0.3,0.03
34,1980,55.3,38.1,8.9,5.5,1.1,1.2,0.6,2.17,1.81,0.33,0.03
34,1985,56.7,35.9,8.4,6,1.1,1.3,0.7,2.18,1.77,0.37,0.04
34,1990,56.6,35,8.1,6.9,1.2,1.5,0.8,2.27,1.8,0.42,0.05
36,1960,92.8,4.4,3.7,2.6,1,0.3,0.2,0.66,0.48,0.17,0.01
36,1965,90.7,6.2,2.9,2.8,0.7,0.3,0.2,0.72,0.53,0.18,0.01
36,1970,88.2,8.1,2.5,3.5,0.6,0.3,0.2,0.85,0.63,0.21,0.01
36,1975,79.2,13.7,3.3,6.7,1.1,0.5,0.3,1.51,1.1,0.39,0.02
36,1980,77.1,15,3.3,7.5,1,0.5,0.3,1.64,1.2,0.43,0.02
36,1985,74.3,16.3,3.4,8.8,0.9,0.6,0.3,1.87,1.35,0.5,0.02
36,1990,69.6,20.3,4.2,9.4,0.9,0.7,0.4,2.13,1.57,0.54,0.02
38,1960,46,26.1,16.2,27.9,6.3,0,0,4.29,3.43,0.86,0
38,1965,45,29.7,8.4,24.8,5.6,0.5,0.3,3.91,3.11,0.79,0.02
38,1970,39.8,28.1,5.8,28.5,7.3,3.5,2.3,4.62,3.43,1.07,0.12
38,1975,38.6,32.1,6.5,25.5,4.5,3.8,2.3,4.46,3.4,0.94,0.12
38,1980,39,41.7,8.5,18.6,2.6,0.6,0.4,3.68,3.1,0.56,0.02
38,1985,19.6,49.8,10.2,28.8,3.7,1.8,0.2,5.18,4.24,0.9,0.04
38,1990,21.5,45.9,9.4,29.1,2.8,3.4,1.2,5.28,4.21,0.97,0.09
39,1960,87.5,10.9,2.4,1.5,0.3,0.1,0,0.41,0.33,0.08,0
39,1965,85.3,12.7,2.7,1.8,0.4,0.2,0,0.5,0.39,0.1,0
39,1970,82.7,14.4,3,2.6,0.5,0.3,0.1,0.62,0.46,0.15,0.01
39,1975,79,16.2,3.3,4.3,0.7,0.5,0.2,0.84,0.58,0.24,0.01
39,1980,74.3,19,3.9,6,1.4,0.7,0.3,1.1,0.73,0.35,0.02
39,1985,69.5,23.7,4.9,6.2,2.3,0.6,0.2,1.24,0.84,0.38,0.02
39,1990,65.9,24.7,5.1,8.4,1.8,0.9,0.4,1.48,0.97,0.48,0.03
40,1960,65.7,27.5,7.4,6.4,2,0.4,0.3,2.13,1.94,0.18,0.01
40,1965,64.2,29.2,7.8,6.3,2,0.3,0.2,2.2,2.01,0.18,0.01
40,1970,60.8,31.4,9.5,7.4,1.5,0.3,0.2,2.46,2.26,0.19,0.01
40,1975,43,38.7,10.9,17.7,4.5,0.7,0.2,3.94,3.45,0.47,0.02
40,1980,39.8,47.1,10.7,12,1.4,1.2,0.4,3.71,3.36,0.31,0.03
40,1985,35.4,48.4,10.3,14.6,1.5,1.5,0.7,4.07,3.64,0.38,0.05
40,1990,31.4,49.6,10.3,17,1.6,2,1,4.43,3.92,0.45,0.06
41,1960,30.8,64.7,11.7,1.2,0.1,3.3,2.6,3.35,2.99,0.24,0.12
41,1965,39.7,56.4,10.2,1.2,0.1,2.6,2.1,2.91,2.6,0.21,0.09
41,1970,44.9,51.5,9.3,1.4,0.1,2.2,1.7,2.65,2.38,0.19,0.08
41,1975,49,47.6,8.6,1.6,0.1,1.8,1.4,2.44,2.2,0.17,0.06
41,1980,48.6,48.1,8.7,1.7,0.1,1.5,1.1,2.42,2.21,0.16,0.05
41,1985,42.6,54.4,9.8,1.8,0.1,1.2,0.9,2.65,2.46,0.15,0.04
41,1990,43.3,53.5,9.6,2.2,0.1,1,0.8,2.62,2.44,0.15,0.04
42,1960,94.2,5.8,1.7,0,0,0,0,0.22,0.22,0,0
42,1965,89.5,9.7,3,0.7,0,0,0,0.46,0.43,0.03,0
42,1970,84.1,14.2,6.1,1.6,0.3,0.1,0,0.79,0.71,0.08,0
42,1975,77.4,18.3,4.9,4.1,0.2,0.3,0.1,1.15,0.95,0.19,0.01
42,1980,67.6,16.2,3.7,15,1.5,1.2,0.7,2.33,1.57,0.73,0.04
42,1985,57.2,26.3,5.6,15.2,1.6,1.3,0.8,2.74,1.95,0.75,0.04
42,1990,52.7,30.2,6.3,15.6,1.5,1.5,0.8,2.94,2.12,0.77,0.05
43,1960,91,5.4,1.8,3,0.7,0.6,0.5,0.61,0.43,0.15,0.02
43,1965,84.6,10.5,3.5,4.3,1,0.6,0.4,0.94,0.72,0.2,0.02
43,1970,74,18.8,6.3,6.8,1.5,0.5,0.1,1.48,1.19,0.28,0.01
43,1975,64.9,21.8,7.3,12.3,4.4,1,0.4,2.27,1.67,0.56,0.03
43,1980,54.8,28.6,9.6,14.9,6.5,1.8,0.8,2.94,2.14,0.75,0.05
43,1985,52.1,26.6,8.9,18.8,7.1,2.5,1.4,3.34,2.34,0.92,0.08
43,1990,44.1,30.8,10.3,21.7,8,3.4,1.9,3.94,2.74,1.1,0.11
44,1960,74.9,21.3,5.8,3.8,1.1,0,0,1.15,1.04,0.11,0
44,1965,72.2,24,5.2,3.8,0.4,0,0,1.19,1.1,0.09,0
44,1970,63.7,32.9,5.3,3.5,0.1,0.1,0,1.44,1.36,0.08,0
44,1975,64.9,31.5,5.3,3.5,0.2,0.2,0.1,1.41,1.32,0.08,0
44,1980,64.9,31.2,6,3.7,0.2,0.2,0.1,1.45,1.35,0.09,0.01
44,1985,64.1,30.8,6.1,4.8,0.2,0.3,0.1,1.54,1.41,0.12,0.01
44,1990,60.1,33.3,6.7,6.2,0.3,0.4,0.2,1.76,1.6,0.15,0.01
45,1960,80.3,18.3,3,1.4,0.2,0,0,0.76,0.72,0.04,0
45,1965,76,22,4.2,1.9,0.3,0,0,0.96,0.9,0.05,0
45,1970,71.2,25.7,5.1,2.9,0.4,0.1,0,1.2,1.11,0.08,0
45,1975,64.9,30,6.1,4.8,0.6,0.3,0.1,1.54,1.39,0.14,0.01
45,1980,59.5,30.2,6.1,9.9,1,0.5,0.2,1.99,1.71,0.27,0.01
