"SHCODE","YEAR","N0F15","PRIF15","PRICF15","SECF15","SECCF15","HIGHF15","HIGHCF15","TYRF15","PYRF15","SYRF15","HYRF15"
70,1960,18.4,56.2,24.1,24.1,10.3,1.2,0.6,5.08,3.93,1.11,0.04
70,1965,17.9,56.9,16,23.6,9.8,1.7,0.7,4.85,3.7,1.1,0.05
70,1970,10.3,57.8,13.4,29.1,12.3,2.7,1.2,5.54,4.05,1.41,0.08
70,1975,10.4,57,12.1,28.1,11.4,4.4,1.6,5.6,4.03,1.45,0.12
70,1980,7.4,52.5,10.7,33.8,14,6.3,3.2,6.3,4.3,1.81,0.19
70,1985,8.2,50.2,10.1,34.3,14,7.4,3.7,6.42,4.31,1.89,0.22
70,1990,6.6,49.7,10,35.1,14.5,8.5,4.5,6.67,4.41,2,0.26
71,1960,33.1,51.9,10.2,14,5,0.9,0.6,3.05,2.3,0.72,0.03
71,1965,30.2,60.3,12.5,9.1,3.1,0.4,0.1,2.76,2.3,0.45,0.01
71,1970,31,57.2,11.4,11.1,3.3,0.7,0.2,2.88,2.31,0.55,0.02
71,1975,19.2,55.7,11.1,23.1,8.1,2,0.7,4.19,2.93,1.21,0.06
71,1980,17.8,53.6,10.7,25.4,8.6,3.2,1.1,4.5,3.04,1.38,0.09
71,1985,15.3,53.1,10.6,26.9,9.5,4.7,1.8,4.85,3.17,1.55,0.13
71,1990,14.9,50.6,10.1,28.1,10.5,6.4,2.7,5.14,3.24,1.72,0.18
72,1960,37.4,53.3,13.3,8.8,2.9,0.5,0.2,2.95,2.56,0.38,0.01
72,1965,37.1,53.2,17.1,9.1,2.9,0.6,0.3,3.11,2.69,0.4,0.02
72,1970,35.3,53.3,19.3,10.1,3,1.2,0.4,3.36,2.86,0.47,0.03
72,1975,29.1,51.3,23.8,17.7,7.7,2,0.5,4.36,3.43,0.88,0.05
72,1980,22.5,45.8,31.8,25.8,12,5.9,1.1,5.86,4.23,1.49,0.14
72,1985,21,45,17,25.2,8.8,8.9,3.4,5.7,3.91,1.55,0.24
72,1990,19.1,44.8,12.1,25.1,8.9,10.9,5.1,5.87,3.87,1.68,0.32
73,1960,16.9,73.5,37.9,9.4,1.4,0.2,0.1,4.25,3.92,0.32,0.01
73,1965,14.5,70.4,22.8,14.9,3.2,0.2,0.1,4.23,3.7,0.52,0.01
73,1970,11,73.1,23.7,15.7,2.1,0.3,0.2,4.4,3.86,0.53,0.01
73,1975,11.4,65.1,21.1,22.8,5.1,0.7,0.2,4.84,4,0.82,0.02
73,1980,7.1,67,21.7,25.1,5.7,0.8,0.3,5.15,4.22,0.91,0.02
73,1985,7.6,60.3,19.6,31.1,8.5,1.1,0.5,5.51,4.32,1.16,0.03
73,1990,7.7,56.7,18.4,34,10.7,1.6,0.6,5.75,4.39,1.32,0.04
74,1960,26.9,65.2,17.6,7.5,2.3,0.5,0.2,3.29,2.96,0.32,0.01
74,1965,25.3,66.3,16.5,7.6,2.3,0.8,0.3,3.35,2.99,0.34,0.02
74,1970,19.3,66.9,14.1,12.5,5.1,1.2,0.6,3.9,3.26,0.6,0.04
74,1975,18.2,67.5,18.8,12.3,4.1,1.9,0.8,4.11,3.45,0.61,0.06
74,1980,13.5,64,18.6,19.9,7.6,2.5,1,4.87,3.82,0.98,0.07
74,1985,13.8,63.5,13.6,19.2,7.4,3.5,1.7,4.79,3.68,1.01,0.1
74,1990,14,62.7,12.9,19.2,7.5,4.1,2.4,4.84,3.66,1.05,0.13
75,1960,50.2,38.3,10.2,10.1,3.8,1.4,0.7,2.64,2.14,0.45,0.04
75,1965,50.6,37,10.9,10.3,3.7,2,0.8,2.71,2.17,0.48,0.06
75,1970,38.4,41.2,14.5,17.3,8.2,3.2,1.4,3.83,2.9,0.84,0.09
75,1975,36.5,40.4,14.4,19.2,6.5,4,1.8,4.06,3.03,0.91,0.12
75,1980,26,38.9,15.4,27,11.6,8.1,4.2,5.43,3.74,1.45,0.25
75,1985,24.5,37,10.2,29.3,10.4,9.2,4.7,5.55,3.73,1.55,0.28
75,1990,22.2,35.6,8.2,31,10.9,11.3,5.3,5.89,3.85,1.71,0.33
77,1960,12.9,63.2,19.4,17.6,6.1,6.3,3.9,5.32,3.91,1.21,0.21
77,1965,12,68.9,27.1,12.8,3.8,6.3,3.9,5.2,4.03,0.97,0.21
77,1970,11.5,60.5,23.9,21.5,6.8,6.5,3.9,5.81,4.21,1.39,0.21
77,1975,8.4,60.6,29.6,23.8,7.6,7.1,4,6.31,4.56,1.53,0.22
77,1980,5.8,61.1,18.8,25.1,8.3,8,4.4,6.29,4.38,1.65,0.25
77,1985,3.1,52,12.6,35.7,12.8,9.3,4.6,7.15,4.63,2.24,0.28
77,1990,3.6,49.4,10.7,36.6,12.7,10.5,5.8,7.3,4.63,2.35,0.33
78,1960,48,45.1,16.7,6.4,2.2,0.6,0.1,2.55,2.27,0.27,0.01
78,1965,40.5,50.4,12.9,8.1,2.3,1.2,0.3,2.83,2.45,0.35,0.03
78,1970,35.1,52.5,11.7,10.2,2.6,2.3,0.6,3.21,2.67,0.47,0.06
78,1975,31,51.9,10.8,12.7,2.9,4.5,1.3,3.69,2.91,0.66,0.12
78,1980,19.6,44,8.9,30.9,12.5,5.5,1.9,5.38,3.77,1.45,0.15
78,1985,16.9,45.6,9.2,29.4,11.5,8,3.2,5.63,3.89,1.51,0.22
78,1990,19.1,54.6,10.9,15.8,6.5,10.6,4.7,4.99,3.55,1.13,0.31
79,1960,95.2,3,0.8,0.1,0,1.7,1.1,0.39,0.22,0.11,0.06
79,1965,95.8,2.7,0.8,0.1,0,1.4,0.9,0.33,0.2,0.09,0.05
79,1970,95.8,3.1,1.1,0.1,0,1.2,0.8,0.32,0.21,0.08,0.04
79,1975,95.3,3.5,1.8,0.1,0,1,0.7,0.33,0.23,0.07,0.03
79,1980,94.9,3.5,0.4,0.7,0,0.9,0.6,0.32,0.21,0.08,0.03
79,1985,93.8,3.8,0.9,1.5,0.1,0.9,0.5,0.41,0.28,0.1,0.03
79,1990,93.1,3.9,1.2,2.1,0.3,0.9,0.5,0.48,0.33,0.13,0.03
80,1960,90.5,4.2,2.3,3.8,0.9,1.6,0.7,0.71,0.51,0.16,0.04
80,1965,85.4,7.3,4.9,5.9,1.3,1.4,0.6,1.05,0.81,0.2,0.04
80,1970,72.7,10.3,3.9,14.5,3.4,2.5,1,1.98,1.45,0.46,0.07
80,1975,63.9,14.1,5.2,19.5,4.9,2.5,0.9,2.56,1.9,0.59,0.07
80,1980,58.3,13.7,4.8,25.1,6.8,3,0.9,3.07,2.24,0.76,0.08
80,1985,52.5,13,4.5,29.9,8.6,4.6,1.1,3.66,2.6,0.95,0.11
80,1990,36,27.4,9.5,28.4,7.3,8.1,2.4,4.55,3.3,1.04,0.21
81,1960,96.8,3.1,0.9,0.1,0,0,0,0.11,0.11,0,0
81,1965,93.2,6.8,2,0,0,0,0,0.22,0.22,0,0
81,1970,94.3,4.3,1.2,1.3,0.1,0.1,0,0.25,0.21,0.04,0
81,1975,89.5,7.1,2.1,3.2,0.3,0.2,0,0.5,0.4,0.1,0
81,1980,79.1,13.6,4,6.9,1.6,0.3,0.1,1.03,0.8,0.23,0.01
81,1985,74.6,17.4,5.1,7.4,1.6,0.6,0.2,1.23,0.96,0.25,0.01
81,1990,70.6,20.8,6,7.9,1.8,0.7,0.3,1.39,1.1,0.28,0.02
82,1960,79.3,15.6,4.5,4.9,1.3,0.2,0.1,0.78,0.61,0.16,0.01
82,1965,77.2,17.3,5,5.3,1.2,0.3,0.1,0.85,0.67,0.18,0.01
82,1970,73.6,19.8,5.8,6.1,1.3,0.5,0.1,1,0.78,0.21,0.01
82,1975,73,18.7,5.4,8.3,2.1,0,0,1.08,0.82,0.26,0
82,1980,66.9,23.8,6.9,8.6,2,0.7,0.1,1.3,0.99,0.3,0.02
82,1985,51.1,34.2,10,13.1,3.3,1.5,0.5,2,1.47,0.49,0.04
82,1990,46.6,38.5,11.2,12.8,3.2,2.2,0.9,2.16,1.59,0.51,0.06
