"SHCODE","YEA","N0F25","PRIF25","PRICF25","SECF25","SECCF25","HIGHF25","HIGHCF25","TYRF25","PYRF25","SYRF25","HYRF25"
90,1970,1.4,63.1,28.9,34.3,13.2,1.3,0.4,6.43,4.9,1.5,0.03
90,1975,1.2,56.4,25.6,40,15.4,2.6,0.8,6.89,5.01,1.81,0.07
90,1980,0.3,47.7,21.6,42.4,16.4,9.6,3,7.79,5.2,2.34,0.25
90,1985,0.4,43.9,19.9,45.2,17.5,10.6,3.3,8.05,5.26,2.52,0.28
90,1990,0,36,16.3,47.3,18.4,16.6,5.2,8.81,5.4,2.97,0.44
91,1960,91.3,5.1,3.2,3.4,1.8,0.3,0.1,0.65,0.47,0.17,0.01
91,1965,88.2,7.9,3.6,3.7,1.9,0.3,0.1,0.78,0.58,0.18,0.01
91,1970,80.4,14.5,5.6,4.7,2.3,0.5,0.2,1.17,0.92,0.24,0.01
91,1975,73.4,18.9,6.8,7.1,3.3,0.7,0.2,1.61,1.24,0.35,0.02
91,1980,79,9.9,3.5,7.7,3.4,3.4,1.2,1.7,1.07,0.54,0.09
91,1985,70.4,14.8,5.1,7,3.3,7.8,2.8,2.47,1.49,0.78,0.21
91,1990,59.8,14.9,5.1,11.6,5.7,13.7,4.9,3.83,2.12,1.34,0.37
92,1960,69.2,25.2,22.2,5.1,2.6,0.5,0.4,2.04,1.76,0.26,0.02
92,1965,54.8,34.4,32.7,9.9,4,0.9,0.7,3.16,2.66,0.47,0.03
92,1970,44.3,39.8,15.6,14,5.9,1.8,1.3,3.38,2.61,0.7,0.06
92,1975,33.5,43.1,17.6,20.8,9.3,2.6,1.9,4.38,3.23,1.06,0.09
92,1980,26.9,39.4,18.9,29.6,12.9,4,2.9,5.42,3.76,1.51,0.14
92,1985,21.9,32.1,21,40.3,21.3,5.8,4.3,6.76,4.36,2.2,0.2
92,1990,16.3,26.2,25.2,50.3,30,7.2,5.3,8.08,4.99,2.84,0.25
93,1960,76.5,8,3.5,13.2,7.6,2.3,1.4,1.94,0.85,1.02,0.07
93,1965,75.4,13.4,5.1,9.6,5.6,1.6,1,1.61,0.82,0.73,0.05
93,1970,68.8,16.6,4.3,12.1,7.2,2.5,1.5,2.06,1,0.97,0.08
93,1975,73.4,6.9,2.1,15.6,9.7,4.1,2.5,2.44,0.97,1.34,0.13
93,1980,62.7,6.4,2.1,23.4,14.7,7.4,4.5,3.76,1.4,2.12,0.24
93,1985,49.9,6.9,2.3,31.6,20.9,11.6,7,5.31,1.91,3.03,0.37
93,1990,46.9,6.3,2.2,33.2,20.5,13.7,8.3,5.72,2.04,3.24,0.44
94,1960,82.2,14.6,3.8,2.7,0.9,0.5,0.4,0.92,0.74,0.16,0.02
94,1965,75.9,20,5.2,3.5,1.2,0.6,0.5,1.23,1,0.21,0.02
94,1970,69.5,25.3,6.6,4.6,1.6,0.7,0.6,1.56,1.27,0.27,0.03
94,1975,59.1,32.6,8.7,7.5,2.8,0.7,0.6,2.17,1.74,0.41,0.03
94,1980,51,38.2,10.6,10.1,3,0.7,0.6,2.64,2.11,0.51,0.03
94,1985,43.8,39.7,16.9,15.3,6.1,1.2,1,3.57,2.69,0.83,0.04
94,1990,37.4,39.9,19.4,20.7,9.6,2.1,1.7,4.42,3.14,1.2,0.07
95,1960,99.9,0.1,0,0.1,0,0,0,0.01,0.01,0,0
95,1965,99.9,0.1,0,0.3,0.1,0,0,0.04,0.03,0.01,0
95,1970,99.9,0,0,0,0,0,0,0,0,0,0
95,1975,99.5,0.1,0,0.1,0,0.1,0.1,0.03,0.02,0.01,0
95,1980,98.6,0.7,0.2,0.4,0.1,0.3,0.2,0.09,0.07,0.02,0.01
95,1985,97.8,1.1,0.3,0.7,0.2,0.5,0.3,0.15,0.11,0.03,0.02
95,1990,96.1,1.7,0.5,1.4,0.4,0.7,0.5,0.27,0.19,0.05,0.02
97,1960,95.5,4.1,0.3,0.4,0.1,0,0,0.15,0.13,0.02,0
97,1965,96.1,3.1,1.5,0.7,0.2,0.1,0.1,0.2,0.15,0.05,0
97,1970,92.8,3.2,2.1,2.4,1,1.6,1.4,0.64,0.33,0.25,0.06
97,1975,92.5,3.2,1.5,2.8,0.9,1.5,1.3,0.65,0.33,0.26,0.06
97,1980,90.4,4.7,1.8,4.2,1.3,0.7,0.6,0.72,0.41,0.29,0.03
97,1985,88.8,6.1,2.2,4.3,1.4,0.8,0.7,0.79,0.46,0.3,0.03
97,1990,87.9,5.3,1.8,6,3.8,0.9,0.8,1,0.52,0.44,0.03
98,1960,37.3,48.9,13.2,8.4,3.5,5.4,3.8,3.33,2.69,0.45,0.18
98,1965,34,51.5,14.7,7.6,3.6,6.9,4.8,3.6,2.86,0.5,0.24
98,1970,22.1,56.7,18.2,11.8,6.6,9.4,6.6,4.58,3.52,0.74,0.32
98,1975,15.9,59,22.6,13.9,7.9,11.3,7.9,5.23,3.96,0.89,0.38
98,1980,13.3,55.1,23.7,16.6,9.6,15.1,10.6,5.91,4.27,1.13,0.51
98,1985,10.4,54.9,26.7,16.7,9.8,18,12.6,6.39,4.53,1.25,0.61
98,1990,9.4,53.1,27,15.1,8.9,22.6,15.8,6.81,4.66,1.38,0.77
100,1960,74.4,9.9,4,15.7,4.4,0,0,2.08,1.36,0.72,0
100,1965,70.7,15.4,6.3,13.9,3.9,0,0,2.12,1.48,0.64,0
100,1970,65.8,19.4,7.9,13.9,4,1,0.7,2.44,1.71,0.7,0.03
100,1975,56.1,24,9.8,18.3,5.4,1.7,1.1,3.21,2.21,0.94,0.06
100,1980,54.3,31.2,12.8,12.5,3.8,2,1.3,2.95,2.19,0.7,0.07
100,1985,44.7,33.2,13.6,19.3,6,2.9,1.9,3.89,2.73,1.06,0.1
100,1990,37,28.8,11.8,30.7,6.8,3.5,2.3,4.96,3.27,1.57,0.12
101,1960,46.7,37.2,5.1,15.9,5,0.2,0.1,2.61,1.86,0.75,0.01
101,1965,47.5,38.3,10,14,4.4,0.2,0.1,2.58,1.92,0.66,0.01
101,1970,40.9,43.7,23.2,13.6,4.3,1.8,0.8,3.25,2.44,0.75,0.05
101,1975,41,41.4,13.6,16,5.1,1.6,0.8,3.16,2.26,0.85,0.05
101,1980,22.7,45.3,15.2,31.3,9.9,0.8,0.4,4.64,3.12,1.5,0.02
101,1985,19.7,46.3,15.7,32.9,10.4,1.1,0.5,4.88,3.25,1.59,0.03
101,1990,21.1,42.6,14.5,34.9,11,1.5,0.7,5,3.25,1.71,0.04
102,1960,92.4,6.6,1.3,0.9,0.4,0.1,0.1,0.35,0.3,0.05,0
102,1965,89.4,8.8,2.5,1.5,0.7,0.3,0.2,0.55,0.45,0.09,0.01
102,1970,87.5,10.2,3.3,2,0.9,0.4,0.2,0.67,0.55,0.11,0.01
102,1975,83.4,12.9,4.3,2.8,1.3,1,0.6,0.96,0.74,0.18,0.03
102,1980,77.4,16.2,5.5,4.4,2,2.1,1.3,1.43,1.04,0.32,0.07
102,1985,70.4,19,6.5,6.6,3.1,4,2.4,2.07,1.4,0.53,0.13
102,1990,60.4,24.2,8.3,9.4,4.4,6,3.6,2.87,1.9,0.77,0.19
103,1960,69.2,20.8,5.8,8.7,3.4,1.1,0.5,1.84,1.38,0.43,0.03
103,1965,60.1,30.6,9.3,8,3.5,1.1,0.5,2.19,1.74,0.41,0.03
103,1970,51.7,38.9,14.2,7.7,3.7,1.5,0.7,2.63,2.15,0.43,0.04
103,1975,43.3,41.2,21,12.8,6.6,2.6,1.1,3.6,2.79,0.74,0.07
103,1980,33.8,43.4,36.8,17.6,10.2,5.5,2.4,5.11,3.79,1.16,0.16
103,1985,27.6,43.4,28.3,23.1,13.5,6.2,2.7,5.56,3.91,1.47,0.18
103,1990,23.2,40.4,23.2,29.5,17.4,7.1,3.1,6.14,4.1,1.83,0.2
104,1960,59.4,38.1,27.7,2.3,0.7,0.3,0.3,2.6,2.48,0.11,0.01
104,1965,57.6,39.5,13.3,2.5,0.8,0.5,0.5,2.2,2.06,0.13,0.02
104,1970,43.3,53.5,16.3,2.5,0.8,0.7,0.7,2.84,2.67,0.14,0.03
104,1975,37.5,58.4,14.1,3.1,1.1,1,1,3.05,2.82,0.19,0.04
104,1980,26.3,67,1.6,4.3,1.7,2.4,2.4,3.29,2.87,0.32,0.1
104,1985,26.9,64,20.8,5.1,2.4,4,3.9,4.23,3.6,0.46,0.16
104,1990,27,61.2,27.2,5.6,2.8,6.2,6.1,4.79,3.92,0.62,0.25
105,1975,79.3,2.5,0.9,14.1,6.5,4.1,2.5,2.19,1.2,0.86,0.13
107,1960,2,93.9,53.6,3.3,1.4,0.7,0.3,3.39,3.11,0.26,0.02
107,1965,2.6,89.8,51.2,6.5,2.8,1,0.5,3.64,3.12,0.49,0.03
107,1970,3.2,71.1,40.5,24.6,10.4,1.1,0.5,4.9,3.26,1.6,0.03
107,1975,3.7,68.4,39,26.2,11.1,1.7,0.8,5.06,3.26,1.75,0.05
107,1980,0,61.9,35.3,36.6,15.4,1.6,0.7,5.9,3.47,2.38,0.05
107,1985,1.1,57.4,32.7,37.9,16,3.7,1.7,6.22,3.47,2.65,0.11
107,1990,2.4,52.7,30.1,38.7,16.4,6.2,2.9,6.56,3.45,2.92,0.18
108,1960,2,69.3,44.5,26.1,8.2,2.6,1.8,7.26,5.99,1.18,0.09
108,1965,2,66.7,48.5,28.5,8.6,2.8,1.9,7.6,6.22,1.28,0.09
108,1970,1,68.8,64,27.1,7.7,3.2,2.2,8.11,6.77,1.24,0.11
108,1975,0.9,65,41.7,30,9.6,4.3,2.9,7.72,6.13,1.44,0.14
