"SHCODE","COUNTRY","M_64_13","M_64_FS","M_8283_13","M_8283_FS","M_88_13","M_9091_10","M_9091_14","M_9398_13","S_7072_10","S_7072_14","S_7072_FS","S_84_10","S_84_13","S_84_FS","S_88_13","S_9091_9","S_9091_13","S_9398_13","R_7072_13","R_9091_9","R_9091_13"
114,"Greece",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,44,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,44.9,1.79769313486232e+308,50.4,50.9
115,"Hungary",1.79769313486232e+308,1.79769313486232e+308,54.6,32.3,1.79769313486232e+308,68.2,68.4,50.2,41.8,36.4,38.3,60,72.3,54.6,1.79769313486232e+308,62.5,73.4,51.8,70,49.9,53.6
116,"Iceland",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,45.9,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,46.2,1.79769313486232e+308,51.8,53.6
117,"Ireland",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,50.4,60,60.5,50,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,46.9,56.5,63.3,49.5,1.79769313486232e+308,50.9,51.1
118,"Italy",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,67.8,64,1.79769313486232e+308,41.3,23.1,26.5,55.8,55.7,36.1,1.79769313486232e+308,66.9,69.9,1.79769313486232e+308,65,52.9,51.5
119,"Luxembourg",1.79769313486232e+308,1.79769313486232e+308,37.9,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
121,"Netherlands",30.6,46.2,58.1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,51.6,38.3,22.3,38.8,1.79769313486232e+308,66,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,51.7,69,48.5,51.4
122,"Norway",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,46.1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,52.9,59.7,49.8,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,48.3,1.79769313486232e+308,52.4,51.6
123,"Poland",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,49.6,60.3,51,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
124,"Portugal",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,55.5,48.3,42.3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,54.8,62.6,42.8,1.79769313486232e+308,47.8,52.3
125,"Spain",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,51.2,61.9,55.4,44.8,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,50.4,61.7,67.5,47.7,1.79769313486232e+308,50.4,49
126,"Sweden",21.9,39.6,43.5,55.8,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,47.7,45.8,27.1,32,61.3,61.3,44.4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,48.8,72,53.9,54.6
127,"Switzerland",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,70.8,50.6,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,73.7,48.4,1.79769313486232e+308,51.1,53.6
129,"United Kingdom",32.9,43.6,48.8,49.4,51,62.6,60.6,47,37.1,26.7,38.5,48.8,55.7,63.7,52,62.6,68.3,49,71,1.79769313486232e+308,1.79769313486232e+308
130,"Yugoslavia",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,58.8,57.1,49.8,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,57.7,70.3,53,1.79769313486232e+308,49.8,53.2
131,"Australia",27,31.3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,49.8,1.79769313486232e+308,30.8,41.2,53.8,59.3,47.8,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,50.4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
133,"New Zealand",1.79769313486232e+308,1.79769313486232e+308,46.4,49.8,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,47.2,1.79769313486232e+308,30.3,48.3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,48.1,1.79769313486232e+308,52.8,54.5
1.79769313486232e+308,"Bulgaria",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,51.4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,56.5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,"Czech Republic",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,52.3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,57.4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,"Latvia",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,46.2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,48.5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,"Lithuania",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,42.8,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,47.6,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,"Romania",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,45.4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,48.6,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,"Russian Federation",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,65.9,70.2,50.1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,61.5,71.3,53.8,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,"Slovak Republic",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,50.8,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,54.4,1.79769313486232e+308,1.79769313486232e+308,0
