"SHCODE","YEAR","N0M25","PRIM25","PRICM25","SECM25","SECCM25","HIGHM25","HIGHCM25","TYRM25","PYRM25","SYRM25","HYRM25"
58,1985,32.9,51.5,11.8,11.1,6.9,4.4,3,3.67,2.83,0.69,0.15
58,1990,31.4,53.1,12.7,9.5,4.9,5.9,3.9,3.77,2.9,0.68,0.2
59,1960,21.6,72.4,15.8,5.4,0.7,0.8,0.6,2.31,2.01,0.27,0.03
59,1965,18.4,75.4,16.6,5.1,0.6,1,0.7,2.39,2.09,0.27,0.03
59,1970,5.7,86,19.2,6.6,0.8,1.5,1,2.85,2.43,0.37,0.05
59,1975,4.5,81.5,18.1,11.8,1.5,2.2,1.5,3.24,2.55,0.62,0.07
59,1980,3.4,80.2,18.1,14.1,1.8,2.2,1.5,3.41,2.62,0.71,0.07
59,1985,2.7,74,16.8,20.1,2.4,3.1,2.1,3.86,2.75,1.01,0.1
59,1990,4.3,65.7,15,26.6,3.3,3.3,2.2,4.2,2.81,1.28,0.11
60,1960,40.6,52.9,10.7,4.4,1.6,2.2,1.2,2.69,2.31,0.31,0.07
60,1965,42.8,51,14,3.6,1.9,2.7,1.5,2.73,2.33,0.32,0.08
60,1970,16.8,67.3,17.5,11.7,5.8,4.5,2.5,4.45,3.52,0.79,0.14
60,1975,20.9,63.5,19.1,10.1,4.1,5.6,3.1,4.35,3.42,0.76,0.17
60,1980,31.1,48.5,16.4,12.1,5,8.2,4.5,4.43,3.17,1.01,0.26
60,1985,28.5,50.3,16.2,10.5,4.4,10.7,5.8,4.69,3.27,1.09,0.33
60,1990,16.1,49,20.9,23.6,10.3,12.1,6.3,6.34,4.24,1.74,0.37
61,1960,58.6,33.1,11.1,4.7,0.7,3.5,2.4,2.27,1.82,0.33,0.12
61,1965,55.3,28.2,8.1,1.4,0.4,5.8,4,2.05,1.52,0.33,0.2
61,1970,53.9,33.7,8.7,6.4,0.8,6.1,4.1,2.74,2.02,0.51,0.2
61,1975,47.8,40.7,10.1,5.1,0.5,6.5,4.4,2.92,2.22,0.49,0.22
61,1980,41.3,47.5,11.5,3.7,0.2,7.5,5.1,3.2,2.45,0.49,0.25
61,1985,39.1,49.4,12,1.8,0.5,9.8,6.6,3.4,2.53,0.54,0.33
61,1990,38,48.4,11.7,4.2,0.2,9.5,6.4,3.55,2.62,0.6,0.32
62,1960,27.5,53.9,23.7,15.5,4.1,3.3,2.2,4.35,3.45,0.78,0.11
62,1965,26.6,55.3,14.5,14.5,6.9,3.6,2.4,4.15,3.18,0.86,0.12
